Date,Time,NumSatellites,Fix,Latitude,Longitude,Altitude
,,0,0,0,0,0
,,0,0,0,0,0
1980-01-06,00:00:01,0,0,0,0,0
1980-01-06,00:00:03,2,0,0,0,0
1980-01-06,00:00:05,2,0,0,0,0
1980-01-06,00:00:07,3,0,0,0,0
1980-01-06,00:00:09,3,0,0,0,0
1980-01-06,00:00:11,3,0,0,0,0
1980-01-06,00:00:13,3,0,0,0,0
1980-01-06,00:00:15,3,0,0,0,0
1980-01-06,00:00:17,3,0,0,0,0
1980-01-06,00:00:19,3,0,0,0,0
1980-01-06,00:00:21,3,0,0,0,0
1980-01-06,00:00:23,3,0,0,0,0
1980-01-06,00:00:25,4,0,0,0,0
1980-01-06,00:00:27,3,0,0,0,0
1980-01-06,00:00:29,4,0,0,0,0
1980-01-06,00:00:31,3,0,0,0,0
2025-11-03,03:46:32,3,0,0,0,0
2025-11-03,03:46:34,3,0,0,0,0
2025-11-03,03:46:36,4,0,0,0,0
2025-11-03,03:46:38,6,0,0,0,0
2025-11-03,03:46:40,4,0,0,0,0
2025-11-03,03:46:42,4,0,0,0,0
2025-11-03,03:46:44,4,0,0,0,0
2025-11-03,03:46:46,4,0,0,0,0
2025-11-03,03:46:48,4,0,0,0,0
2025-11-03,03:46:50,4,0,0,0,0
2025-11-03,03:46:52,4,0,0,0,0
2025-11-03,03:46:54,4,0,0,0,0
2025-11-03,03:46:56,4,0,0,0,0
2025-11-03,03:46:58,5,0,0,0,0
2025-11-03,03:47:00,5,0,0,0,0
2025-11-03,03:47:02,4,0,0,0,0
2025-11-03,03:47:04,5,0,0,0,0
2025-11-03,03:47:06,4,0,0,0,0
2025-11-03,03:47:08,4,0,0,0,0
2025-11-03,03:47:10,6,0,0,0,0
2025-11-03,03:47:12,5,0,0,0,0
2025-11-03,03:47:14,4,0,0,0,0
2025-11-03,03:47:16,5,0,0,0,0
2025-11-03,03:47:18,4,0,0,0,0
2025-11-03,03:47:20,4,0,0,0,0
2025-11-03,03:47:22,5,0,0,0,0
2025-11-03,03:47:24,6,0,0,0,0
2025-11-03,03:47:26,6,0,0,0,0
2025-11-03,03:47:28,6,0,0,0,0
2025-11-03,03:47:30,7,0,0,0,0
2025-11-03,03:47:32,8,0,0,0,0
2025-11-03,03:47:34,9,0,0,0,0
2025-11-03,03:47:36,7,0,0,0,0
2025-11-03,03:47:38,7,0,0,0,0
2025-11-03,03:47:40,6,0,0,0,0
2025-11-03,03:47:42,6,0,0,0,0
2025-11-03,03:47:44,6,0,0,0,0
2025-11-03,03:47:46,6,0,0,0,0
2025-11-03,03:47:48,6,0,0,0,0
2025-11-03,03:47:50,6,0,0,0,0
2025-11-03,03:47:52,6,0,0,0,0
2025-11-03,03:47:54,6,0,0,0,0
2025-11-03,03:47:56,6,0,0,0,0
2025-11-03,03:47:58,6,0,0,0,0
2025-11-03,03:48:00,6,0,0,0,0
2025-11-03,03:48:01,6,1,7.00728,100.502,52.62
2025-11-03,03:48:03,6,1,7.00729,100.502,55.2
2025-11-03,03:48:05,6,1,7.00729,100.502,41.22
2025-11-03,03:48:07,6,1,7.00729,100.502,41.57
2025-11-03,03:48:09,6,1,7.00727,100.502,42.85
2025-11-03,03:48:11,6,1,7.00727,100.502,43.32
2025-11-03,03:48:13,6,1,7.00728,100.502,44.01
2025-11-03,03:48:15,6,1,7.00728,100.502,43.9
2025-11-03,03:48:17,6,1,7.00728,100.502,43.67
2025-11-03,03:48:19,6,1,7.00728,100.502,45.13
2025-11-03,03:48:21,6,1,7.00728,100.502,46.01
2025-11-03,03:48:23,6,1,7.00727,100.502,45.77
2025-11-03,03:48:25,6,1,7.00728,100.502,45.95
2025-11-03,03:48:27,6,1,7.00728,100.502,45.93
2025-11-03,03:48:29,6,1,7.00727,100.502,47.01
2025-11-03,03:48:31,6,1,7.00727,100.502,46.97
2025-11-03,03:48:33,6,1,7.00727,100.502,46.97
2025-11-03,03:48:35,6,1,7.00727,100.502,46.97
2025-11-03,03:48:37,6,1,7.00727,100.502,46.97
2025-11-03,03:48:39,6,1,7.00727,100.502,46.97
2025-11-03,03:48:41,6,1,7.00727,100.502,46.97
2025-11-03,03:48:43,6,1,7.00728,100.502,46.97
2025-11-03,03:48:45,6,1,7.00728,100.502,46.97
2025-11-03,03:48:47,6,1,7.00728,100.502,46.97
2025-11-03,03:48:49,6,1,7.00728,100.502,47.01
2025-11-03,03:48:51,6,1,7.00728,100.502,47.08
2025-11-03,03:48:53,6,1,7.00728,100.502,47.16
2025-11-03,03:48:55,6,1,7.00728,100.502,47.41
2025-11-03,03:48:57,6,1,7.00728,100.502,47.64
2025-11-03,03:48:59,6,1,7.00728,100.502,47.89
2025-11-03,03:49:01,6,1,7.00728,100.502,47.99
2025-11-03,03:49:03,6,1,7.00728,100.502,48.09
2025-11-03,03:49:05,6,1,7.00728,100.502,48.13
2025-11-03,03:49:07,6,1,7.00727,100.502,48.23
2025-11-03,03:49:09,6,1,7.00727,100.502,48.43
2025-11-03,03:49:11,6,1,7.00727,100.502,48.75
2025-11-03,03:49:13,6,1,7.00727,100.502,48.82
2025-11-03,03:49:15,6,1,7.00727,100.502,48.87
2025-11-03,03:49:17,6,1,7.00727,100.502,49.07
2025-11-03,03:49:19,6,1,7.00727,100.502,49.13
2025-11-03,03:49:21,7,1,7.00727,100.502,49.16
2025-11-03,03:49:23,6,1,7.00727,100.502,49.19
2025-11-03,03:49:25,6,1,7.00727,100.502,49.22
2025-11-03,03:49:27,6,1,7.00727,100.502,49.27
2025-11-03,03:49:29,6,1,7.00727,100.502,49.37
2025-11-03,03:49:31,6,1,7.00727,100.502,49.63
